time_s,R,G,B,motion
0.3034849166870117,33.46518367346939,23.480122448979593,17.549387755102043,False
0.4545421600341797,56.514929474262686,41.42146913354094,34.93277156988459,True
0.5059871673583984,60.04368403132448,43.99039836567926,37.44133469526728,True
0.5594801902770996,62.56111623616236,45.67913152345809,39.06922113863996,False
0.6119282245635986,67.20951806825413,49.46893733882582,42.77876017281222,False
0.6554422378540039,69.74701095147192,51.5003181620282,44.627984862185606,False
0.7033252716064453,68.64603206147324,50.60310678325384,43.6853471118177,False
0.7587261199951172,64.69288389513109,47.28975144705482,40.14685052774941,False
0.8051371574401855,59.30693170234455,42.6620455317703,35.31427115188583,False
0.8546831607818604,56.87662156507184,40.25683498395871,32.976426279815875,False
0.9060721397399902,58.789667896678964,41.87460583696746,34.54770211338477,False
0.9561641216278076,60.59094713349142,42.62477332961362,35.32964848653926,False
1.004730224609375,62.13504801097394,43.79735939643347,36.61532921810699,False
1.0565502643585205,64.60147858836658,45.82337146045474,38.26792439670805,False
1.1106412410736084,66.50884773662551,47.51515775034294,39.62013031550069,False
1.1752581596374512,65.4108041491219,46.09797678956557,37.996713566807024,False
1.232316255569458,67.45898984446168,48.1129930159587,40.15884476534296,False
1.2975070476531982,69.3049104180491,49.28059057730591,41.36489714664897,False
1.356551170349121,69.86111874656405,49.59490104452996,41.51096069268829,False
1.4189732074737549,70.83075615972812,50.665012744265084,42.843160577740015,False
1.4746580123901367,70.18868309260833,49.13237043330501,41.2542735768904,False
1.5376992225646973,72.10212121212122,50.93579124579124,42.74872053872054,False
1.5974090099334717,72.71312760633862,51.054378648874064,42.59576313594662,False
1.657663106918335,75.27480400108138,53.43001486888348,44.64057853473912,False
1.715804100036621,74.97346889870255,53.00356030262572,43.85392489130807,False
1.777379035949707,77.25740593854536,55.027347656654136,45.81149774114564,False
1.8339180946350098,76.94905723905724,54.42885521885522,45.21643097643098,False
1.8993442058563232,79.9588514507287,57.869735258724425,48.84670410482685,False
1.95694899559021,77.46841983241148,55.092538005497964,46.2193223594873,False
2.0176100730895996,79.25160178228771,57.04471981006277,48.23862490649494,False
2.07600998878479,80.7594982078853,58.552557836428804,49.748843271423915,False
2.1391680240631104,82.36091237282574,59.820544798162125,50.664358385297014,False
2.198212146759033,82.09178743961353,59.97059015537276,51.090742916829875,False
2.2575879096984863,81.99494059276668,59.508878443661054,50.81587021804413,False
2.3189680576324463,82.74365274365275,59.928288288288286,50.86240786240786,False
2.3803000450134277,84.55061334397128,61.72461021907517,52.400019946145406,False
2.44010591506958,88.37697556220846,65.43375339413771,55.7811042261366,True
2.5083839893341064,87.7555114336574,64.37323702587977,54.81031767766671,False
2.5667221546173096,87.52107155699389,64.1319309600863,55.007802948579645,False
2.631395101547241,87.45543995767942,63.666831246693704,54.44182683830012,False
2.682868003845215,86.01550492569146,62.646772064050914,53.64362368394326,False
2.751085042953491,81.56925056925057,58.30660330660331,49.38405438405439,False
2.8073360919952393,81.59749967358663,58.958447578012795,50.171889280584935,False
2.872852087020874,82.21445994731194,59.62279246755781,50.61371841155235,False
2.9189839363098145,81.08126293995859,58.15307971014493,49.12092391304348,False
2.988974094390869,82.30376947344456,59.33235762838651,50.24421894819007,False
3.0486841201782227,79.83323611381165,56.607362758441894,47.69761488106812,False
3.1084890365600586,82.29272068511199,59.23705533596838,50.31047430830039,False
3.1693150997161865,82.8005928853755,59.5145256916996,50.621212121212125,False
3.2306759357452393,82.68936806842945,59.60802679936254,50.789507919471816,False
3.2891173362731934,82.74041501976285,59.03498023715415,50.27776679841897,False
3.3526861667633057,85.26181616399008,61.33695652173913,52.291944118031076,False
3.406426191329956,86.3586564171123,61.80982620320856,52.4730949197861,False
3.47098708152771,89.85529181586622,62.792757207722694,53.16951530141386,True
3.5329551696777344,87.68294898672256,61.79570230607966,52.38190076869322,True
3.594957113265991,84.01141766557289,59.61598473180205,50.39395968660015,True
3.6509361267089844,76.11953906117607,52.72431791221827,44.27700389764447,False
3.7106220722198486,76.20873091603053,52.51578403307888,44.59852099236641,False
3.7705252170562744,87.20391985745972,63.1014872186466,54.253518053888946,False
3.833919048309326,88.12984834480162,64.17267467734757,54.72335763924549,False
3.888892889022827,84.80667783127485,59.95408554881027,50.98224129509455,False
3.9502930641174316,90.63383991894631,66.45616345829112,57.940560621411684,True
4.009716987609863,89.7491205853384,63.98374841705361,55.117806388068104,False
4.074027061462402,94.75052654513763,68.97091292032827,60.31803326312731,False
4.129814147949219,111.5989667896679,84.61760147601476,75.19479704797048,False
4.192745923995972,125.52948148148148,94.84707407407407,83.11992592592593,False
4.253056049346924,120.98545431244393,86.96056004100987,73.77377290785596,False
4.313377141952515,111.42318656952803,77.19192271143491,64.48156477668672,False
4.3698649406433105,110.83397129186604,76.31499202551834,63.47100478468899,False
4.43232798576355,110.706432748538,76.34351193298562,63.05885885885886,False
4.492310047149658,110.70250686071968,76.18143134655114,62.635348894576175,False
4.555031061172485,110.41069688109162,76.18210891812865,62.58028752436647,False
4.610929250717163,110.22280092592592,76.06990131578948,62.540113304093566,False
4.674823999404907,110.01878503257082,75.70725647629148,62.07710952885926,False
4.7325732707977295,109.16786520234692,75.27097938919813,61.700346020761245,False
4.79625129699707,109.31594176413256,75.1103496588694,61.436799463937625,False
4.852571249008179,109.3485127826942,75.28026671583088,61.38126843657817,False
4.9134581089019775,109.32632797270955,75.32620614035088,61.428941276803116,False
4.973390102386475,109.53784958835682,75.3783417100922,61.20289229440967,False
